CustomerID,Province,CustomerSegment,RegistrationDate,CustomerTenureMonths,CustomerTenureBand
C000001,Ontario,Premium,2020-09-02,63,Long-Term
C000002,Ontario,Commercial,2021-06-08,54,Long-Term
C000003,Ontario,Retail,2021-02-03,58,Long-Term
C000004,Ontario,Retail,2025-06-05,6,New
C000005,Ontario,Retail,2024-09-11,15,Established
C000006,Ontario,Retail,2024-05-14,19,Established
C000007,Ontario,Retail,2020-02-16,70,Long-Term
C000008,British Columbia,Premium,2021-10-18,50,Long-Term
C000009,Ontario,Retail,2023-02-24,34,Loyal
C000010,Ontario,Retail,2023-01-24,35,Loyal
C000011,Ontario,Retail,2021-12-04,48,Loyal
C000012,Ontario,Retail,2022-09-23,39,Loyal
C000013,Ontario,Retail,2024-11-08,13,Established
C000014,Ontario,Premium,2021-07-04,53,Long-Term
C000015,Ontario,Retail,2024-06-19,18,Established
C000016,Ontario,Fleet,2022-06-14,42,Loyal
C000017,Ontario,Retail,2024-06-24,18,Established
C000018,British Columbia,Commercial,2020-10-11,62,Long-Term
C000019,Ontario,Retail,2020-03-30,69,Long-Term
C000020,Ontario,Retail,2022-04-05,44,Loyal
C000021,British Columbia,Retail,2021-11-06,49,Long-Term
C000022,Ontario,Fleet,2024-04-20,20,Established
C000023,Ontario,Fleet,2024-03-28,21,Established
C000024,Ontario,Retail,2025-03-18,9,Recent
C000025,Alberta,Retail,2020-03-16,69,Long-Term
C000026,Ontario,Retail,2020-05-23,67,Long-Term
C000027,Ontario,Premium,2023-03-13,33,Loyal
C000028,British Columbia,Fleet,2021-09-25,51,Long-Term
C000029,Ontario,Retail,2022-08-11,40,Loyal
C000030,Alberta,Premium,2023-11-17,25,Loyal
C000031,Ontario,Fleet,2023-10-20,26,Loyal
C000032,British Columbia,Fleet,2025-01-01,11,Recent
C000033,Ontario,Retail,2020-02-08,70,Long-Term
C000034,Ontario,Retail,2021-03-31,57,Long-Term
C000035,Alberta,Retail,2022-04-03,44,Loyal
C000036,British Columbia,Retail,2025-01-26,11,Recent
C000037,British Columbia,Commercial,2023-06-04,30,Loyal
C000038,Ontario,Retail,2023-10-28,26,Loyal
C000039,British Columbia,Retail,2023-09-15,27,Loyal
C000040,Ontario,Retail,2020-03-30,69,Long-Term
C000041,British Columbia,Fleet,2023-05-09,31,Loyal
C000042,Ontario,Retail,2021-01-24,59,Long-Term
C000043,Ontario,Retail,2022-05-26,43,Loyal
C000044,Alberta,Fleet,2024-12-07,12,Recent
C000045,Alberta,Commercial,2025-11-22,1,New
C000046,Ontario,Premium,2024-07-26,17,Established
C000047,Ontario,Fleet,2020-03-23,69,Long-Term
C000048,Ontario,Fleet,2024-01-09,23,Established
C000049,Ontario,Premium,2021-03-13,57,Long-Term
C000050,Ontario,Retail,2022-02-01,46,Loyal
C000051,Ontario,Premium,2021-07-31,53,Long-Term
C000052,Ontario,Fleet,2025-11-15,1,New
C000053,Ontario,Retail,2023-09-20,27,Loyal
C000054,Alberta,Premium,2023-09-15,27,Loyal
C000055,British Columbia,Retail,2025-12-13,0,New
C000056,Ontario,Retail,2025-11-12,1,New
C000057,Alberta,Retail,2025-05-23,7,Recent
C000058,Alberta,Retail,2023-11-29,25,Loyal
C000059,Ontario,Commercial,2023-01-06,35,Loyal
C000060,Ontario,Retail,2022-12-15,36,Loyal
C000061,Ontario,Retail,2025-08-17,4,New
C000062,British Columbia,Retail,2021-06-09,54,Long-Term
C000063,Ontario,Retail,2022-10-27,38,Loyal
C000064,Ontario,Retail,2025-03-21,9,Recent
C000065,Ontario,Retail,2023-06-08,30,Loyal
C000066,Alberta,Retail,2020-03-07,69,Long-Term
C000067,Ontario,Premium,2024-03-21,21,Established
C000068,Ontario,Retail,2023-12-31,24,Established
C000069,Ontario,Commercial,2024-06-18,18,Established
C000070,Ontario,Retail,2022-07-08,41,Loyal
C000071,Alberta,Fleet,2025-07-14,5,New
C000072,Ontario,Retail,2024-07-26,17,Established
C000073,Ontario,Retail,2025-08-10,4,New
C000074,Ontario,Fleet,2025-07-19,5,New
C000075,Ontario,Retail,2025-08-22,4,New
C000076,Ontario,Premium,2025-04-27,8,Recent
C000077,Ontario,Commercial,2025-05-23,7,Recent
C000078,British Columbia,Retail,2023-08-12,28,Loyal
C000079,Alberta,Premium,2021-12-25,48,Loyal
C000080,Ontario,Commercial,2024-11-07,13,Established
C000081,Alberta,Premium,2025-03-03,9,Recent
C000082,Ontario,Retail,2025-06-20,6,New
C000083,Ontario,Fleet,2023-04-17,32,Loyal
C000084,Alberta,Retail,2022-07-11,41,Loyal
C000085,Ontario,Premium,2023-07-01,29,Loyal
C000086,Alberta,Premium,2025-04-16,8,Recent
C000087,Ontario,Premium,2025-09-25,3,New
C000088,Alberta,Retail,2022-03-04,45,Loyal
C000089,British Columbia,Retail,2021-12-12,48,Loyal
C000090,British Columbia,Retail,2022-09-11,39,Loyal
C000091,British Columbia,Retail,2025-02-06,10,Recent
C000092,Ontario,Retail,2023-12-01,24,Established
C000093,British Columbia,Commercial,2025-01-28,11,Recent
C000094,Ontario,Retail,2020-07-20,65,Long-Term
C000095,Ontario,Retail,2024-06-13,18,Established
C000096,Ontario,Premium,2022-07-27,41,Loyal
C000097,Ontario,Retail,2025-02-22,10,Recent
C000098,Ontario,Retail,2024-02-01,22,Established
C000099,British Columbia,Retail,2020-12-07,60,Long-Term
C000100,Ontario,Retail,2022-08-09,40,Loyal
C000101,Ontario,Retail,2023-10-26,26,Loyal
C000102,Ontario,Retail,2022-08-04,40,Loyal
C000103,Ontario,Retail,2025-03-16,9,Recent
C000104,British Columbia,Commercial,2022-04-12,44,Loyal
C000105,Ontario,Retail,2023-07-11,29,Loyal
C000106,Ontario,Commercial,2024-03-03,21,Established
C000107,Ontario,Commercial,2020-11-25,61,Long-Term
C000108,Alberta,Retail,2023-08-01,28,Loyal
C000109,British Columbia,Retail,2022-01-15,47,Loyal
C000110,Ontario,Retail,2023-07-03,29,Loyal
C000111,Alberta,Fleet,2023-10-19,26,Loyal
C000112,Ontario,Commercial,2021-06-04,54,Long-Term
C000113,Ontario,Retail,2025-08-13,4,New
C000114,Ontario,Commercial,2025-09-20,3,New
C000115,Ontario,Premium,2024-06-10,18,Established
C000116,Ontario,Retail,2020-06-16,66,Long-Term
C000117,Ontario,Retail,2021-12-02,48,Loyal
C000118,Ontario,Retail,2023-10-26,26,Loyal
C000119,Ontario,Premium,2023-06-04,30,Loyal
C000120,Ontario,Retail,2024-11-20,13,Established
C000121,Ontario,Commercial,2025-07-19,5,New
C000122,Ontario,Retail,2024-07-22,17,Established
C000123,Ontario,Commercial,2020-04-17,68,Long-Term
C000124,Ontario,Retail,2022-11-06,37,Loyal
C000125,Ontario,Retail,2020-12-04,60,Long-Term
C000126,Ontario,Retail,2023-01-17,35,Loyal
C000127,British Columbia,Fleet,2022-02-16,46,Loyal
C000128,Ontario,Retail,2020-11-30,61,Long-Term
C000129,Ontario,Retail,2022-09-16,39,Loyal
C000130,Ontario,Retail,2023-03-28,33,Loyal
C000131,Ontario,Retail,2020-07-01,65,Long-Term
C000132,Ontario,Retail,2022-07-09,41,Loyal
C000133,Alberta,Commercial,2020-11-06,61,Long-Term
C000134,Ontario,Retail,2024-06-19,18,Established
C000135,Ontario,Retail,2022-01-17,47,Loyal
C000136,Ontario,Retail,2020-12-05,60,Long-Term
C000137,Ontario,Retail,2025-07-26,5,New
C000138,Ontario,Commercial,2021-02-02,58,Long-Term
C000139,British Columbia,Premium,2021-12-10,48,Loyal
C000140,British Columbia,Retail,2022-02-10,46,Loyal
C000141,Ontario,Commercial,2020-08-13,64,Long-Term
C000142,British Columbia,Commercial,2024-12-01,12,Recent
C000143,Alberta,Retail,2024-05-15,19,Established
C000144,Alberta,Fleet,2020-06-08,66,Long-Term
C000145,Ontario,Retail,2025-04-17,8,Recent
C000146,Alberta,Retail,2023-05-03,31,Loyal
C000147,Alberta,Fleet,2022-08-12,40,Loyal
C000148,Ontario,Premium,2022-07-02,41,Loyal
C000149,Alberta,Commercial,2023-08-17,28,Loyal
