VehicleID,Brand,Model,VehicleType,MSRP,CostRatio,BaseCost,DemandWeight
V001,Northstar,Nova,Passenger Car,63000,0.8440917917963789,53200.0,1.25
V002,Northstar,Metro,Passenger Car,53000,0.8445707589747807,44800.0,1.05
V003,Northstar,Crest,SUV,44000,0.7767010668817544,34200.0,1.1
V004,Northstar,Horizon,SUV,72000,0.803749916920991,57900.0,1.2
V005,Northstar,Titan,Truck,47000,0.8002543709494544,37600.0,0.9
V006,Apex,A4,Passenger Car,45000,0.835180499652515,37600.0,1.0
V007,Apex,A6,Passenger Car,63000,0.8062947290334687,50800.0,0.75
V008,Apex,A7,SUV,48000,0.8134316724795565,39000.0,1.1
V009,Apex,A9,SUV,52000,0.7862409705774571,40900.0,0.85
V010,Apex,X1,Van,45000,0.808684062776889,36400.0,0.7
V011,Summit,Ranger,Truck,50000,0.7701267768,38500.0,1.1
V012,Summit,Frontier,Truck,63000,0.7699871033601816,48500.0,0.85
V013,Summit,Atlas,Truck,75000,0.7973869724925338,59800.0,0.65
V014,Summit,Trail,SUV,69000,0.8237862822764748,56800.0,1.05
V015,Summit,Peak,SUV,53000,0.8054229491176272,42700.0,0.9
V016,Velocity,V1,Passenger Car,27000,0.8028069356957012,21700.0,1.05
V017,Velocity,V3,Passenger Car,46000,0.8023359403299422,36900.0,0.8
V018,Velocity,V5,Passenger Car,26000,0.797339741103942,20700.0,1.0
V019,Velocity,V7,SUV,53000,0.7844755795626517,41600.0,1.15
V020,Velocity,V9,SUV,73000,0.8085268821229582,59000.0,0.95
V021,Evergreen,E1,Passenger Car,54000,0.8136972141788712,43900.0,1.15
V022,Evergreen,E2,Passenger Car,62000,0.8136998236521484,50400.0,1.3
V023,Evergreen,Eco,SUV,31000,0.7813790239661809,24200.0,1.1
V024,Evergreen,Transit,Van,55000,0.7760276933890884,42700.0,0.8
V025,Evergreen,Carrier,Van,67000,0.8086055851113344,54200.0,0.75
